Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type,Explanation
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,Not given,A E B C D P,"The SHL Global Skills Development Report isn't a single, fixed report.  SHL is a company that provides psychometric assessments, and they publish various reports analyzing trends in workplace skills based on the data they collect from using their assessments globally.  These reports don't evaluate specific individuals, but rather give an overview of general skill levels and trends in different regions, industries, and job roles.

In simple terms, they look at the results of their tests (taken by many people applying for jobs) and see what kinds of skills are strong or weak in different groups.  This helps companies understand what skills to focus on when hiring and training employees.

The specific skills evaluated vary from report to report, but commonly included are aspects of:

* **Cognitive abilities:** Things like problem-solving, reasoning, verbal comprehension (understanding written and spoken information), and numerical reasoning (working with numbers and data).
* **Personality traits:**  Not in the sense of whether someone is extroverted or introverted, but rather work-related personality traits that affect performance.  This might include things like conscientiousness (being organized and detail-oriented), emotional intelligence (understanding and managing emotions), and resilience (handling stress).
* **Behavioral tendencies:** This looks at how someone might approach work tasks or interact with others in a professional context.  Examples include teamwork, leadership, and communication skills.

Essentially, the SHL reports provide insights into the global talent landscape, highlighting skills gaps and suggesting areas for improvement in education and training to prepare the workforce for the future.  Each report focuses on specific themes or industries depending on the data they have and the questions they're trying to answer at the time.
"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,30,K,"The SHL assessment mentioning "".NET Framework 4.5"" isn't a specific, standalone test.  It's likely referring to a *technical* assessment, probably a coding or programming test, that requires knowledge of the .NET Framework 4.5, a now-outdated Microsoft software development platform.

In simpler terms: Imagine you're applying for a software developer job where they use .NET. This assessment would check if you know how to write code using that particular version of .NET.  It's not testing general programming ability, but specifically your experience and skill *within the .NET 4.5 environment*.

Key skills evaluated would likely include:

* **C# or VB.NET proficiency:**  These are the primary programming languages used with .NET. The test would evaluate your understanding of syntax, data structures, algorithms, and object-oriented programming principles within the context of .NET 4.5.
* **.NET Framework 4.5 APIs and libraries:**  This includes familiarity with common classes and functionalities provided by the framework, such as working with files, databases, networking, and the user interface (UI).  They might ask you to use specific classes or namespaces available only in that version.
* **Problem-solving and coding skills:**  You'd likely be given coding problems to solve within the .NET 4.5 environment.  This tests your ability to translate problems into code, debug your solutions, and write efficient and maintainable code.
* **Understanding of .NET concepts:** This could include things like garbage collection, exception handling, and application deployment specifics of that framework version.


It's crucial to note that because .NET 4.5 is outdated (newer versions like .NET 6 and .NET 7 are prevalent), seeing this specification might indicate the company hasn't updated their assessment tools or that the role involves maintaining legacy systems built on that older framework.  If you're preparing for such a test, reviewing .NET 4.5 documentation and practicing coding problems using that framework version is essential.
"
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,17,K,"The SHL Assessment "".NET MVC (New)"" is a test designed to assess a candidate's knowledge and skills in building web applications using the ASP.NET MVC framework (a now somewhat outdated but still relevant Microsoft technology).  Think of it as a coding skills exam specifically for this type of web development.

In simple terms, it evaluates how well you understand and can apply concepts like:

* **Model-View-Controller (MVC) architecture:**  This is the fundamental design pattern of the framework.  The test will likely check your understanding of how the Model (data), View (presentation), and Controller (logic) interact.

* **C# programming:**  ASP.NET MVC is built on C#, so strong C# skills are essential.  Expect questions on things like data types, loops, conditional statements, and object-oriented programming principles.

* **ASP.NET MVC components:**  You'll likely be tested on your understanding and use of controllers, views, models, routing, and other core components of the framework.

* **Data access:**  Working with databases is crucial in web development.  The assessment might involve questions on connecting to databases (e.g., SQL Server), querying data, and handling data transactions.

* **Problem-solving and coding skills:**  You'll likely be presented with coding problems or scenarios requiring you to write code snippets or solve issues within the MVC framework context.


**Key Skills Evaluated:**

* **C# proficiency**
* **Understanding of MVC architecture**
* **Database interaction skills (usually SQL)**
* **Web application development principles**
* **Problem-solving abilities**
* **Coding efficiency and cleanliness**


It's important to note that while "".NET MVC (New)"" implies a newer version, the fundamental concepts remain the same.  The specific version of the framework used might vary, but the core principles and skills assessed will be consistent.  If you're preparing for this assessment, focus on the fundamental concepts of ASP.NET MVC and C# programming.  Practice coding challenges related to these areas to boost your performance.
"
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,5,K,"The SHL "".NET MVVM (New)"" assessment is a test designed to evaluate a candidate's knowledge and practical skills in developing applications using the .NET framework and the Model-View-ViewModel (MVVM) design pattern.  In simpler terms, it checks if you know how to build software using a popular Microsoft technology and a specific way of structuring that software.

Imagine building a house.  .NET is like the set of tools and materials (languages, libraries, etc.) you use. MVVM is a specific blueprint or plan that organizes the different parts of the house (data, user interface, and logic) in a clean and efficient way.  The SHL test assesses your understanding of both the tools and the blueprint, and your ability to use them to build a functioning ""house"" (application).

Key skills evaluated typically include:

* **C# Programming:**  Solid understanding of the C# programming language is crucial.  This includes syntax, data structures, object-oriented programming principles (like inheritance and polymorphism), and exception handling.

* **.NET Framework/Core Knowledge:**  Familiarity with the .NET ecosystem, including its core libraries and functionalities.  This might involve working with things like collections, threading, and asynchronous programming.

* **MVVM Design Pattern:**  A deep understanding of the MVVM pattern is paramount.  This includes knowing how to separate concerns (model, view, and viewmodel), use data binding, and manage the flow of data and commands between these components.  You'll likely be tested on your ability to design and implement MVVM architecture in a given scenario.

* **XAML (often):** While not always explicitly stated, many .NET MVVM applications use XAML (Extensible Application Markup Language) for defining the user interface.  Knowledge of XAML and its relationship to the ViewModel is often tested.

* **Testing and Debugging:**  The ability to write testable code and debug effectively is essential for any software developer.  Expect questions or tasks that test this skill.

In essence, the SHL "".NET MVVM (New)"" assessment checks if you possess the necessary technical expertise to develop well-structured, maintainable, and testable applications using a common and popular approach within the .NET world.  It goes beyond simply knowing the syntax and digs into your understanding of architectural patterns and best practices.
"
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,11,K,"The SHL Assessment "".NET WCF (New)"" (assuming ""New"" refers to a newer version or a slightly different focus compared to older WCF assessments) is a test designed to evaluate a candidate's knowledge and practical skills in using Windows Communication Foundation (WCF) – a Microsoft framework for building service-oriented applications.  In simple terms, it checks if you know how to create and use services that communicate with each other over a network, like a web service but with more features and control within the Microsoft ecosystem.

It doesn't assess general .NET programming knowledge extensively, but it focuses specifically on WCF concepts and their implementation.  The key skills evaluated typically include:

* **Understanding of WCF Architectural Concepts:**  This includes knowledge of services, clients, bindings, contracts (interfaces defining service operations), endpoints (address, binding, contract), and message handling.
* **Service Design and Implementation:**  Candidates are tested on their ability to design WCF services, define contracts, choose appropriate bindings (e.g., basicHttpBinding, netTcpBinding, wsHttpBinding), and implement service operations.
* **Configuration:**  WCF heavily relies on configuration files (app.config or web.config).  The assessment will likely involve questions on configuring services, endpoints, and bindings.
* **Data Serialization:**  Understanding how data is transferred between client and service (often using XML or JSON) is crucial.
* **Error Handling and Exception Management:**  Robust error handling is essential in distributed systems. The assessment will assess knowledge of how to deal with exceptions and faults within a WCF application.
* **Security:**  Depending on the specific assessment, questions might touch on securing WCF services (e.g., using transport security or message security).
* **Troubleshooting:**  Understanding common WCF issues and debugging techniques might be evaluated.


Essentially, the assessment aims to determine if a candidate possesses the practical skills to effectively develop, deploy, and maintain WCF-based applications. It's not a theoretical test; it's more likely to involve scenarios and problem-solving focused on coding aspects related to WCF.  Because WCF is less prevalent than newer technologies like gRPC or REST APIs, this assessment might be targeted towards specific legacy systems or niche roles.
"
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,9,K,"The SHL Assessment "".NET WPF (New)"" is a test designed to assess a candidate's skills and knowledge in developing applications using .NET Framework and specifically Windows Presentation Foundation (WPF).  In simple terms, it checks if you know how to build desktop applications for Windows using Microsoft's tools.

It doesn't involve actually *building* an application during the test, but rather assesses your understanding through multiple-choice questions and possibly some coding snippets (depending on the specific test version).  The questions will cover various aspects of WPF development.

Key skills evaluated include:

* **XAML (Extensible Application Markup Language):**  Understanding how to create the user interface (UI) using XAML, including knowledge of controls, data binding, and styling.
* **C# (C Sharp):**  Proficiency in C#, the primary programming language used with WPF, including concepts like object-oriented programming, event handling, and data manipulation.
* **WPF Controls and Components:** Familiarity with common WPF controls (buttons, text boxes, grids, etc.) and their properties.
* **Data Binding:**  Understanding how to connect data to the UI efficiently and dynamically.
* **MVVM (Model-View-ViewModel):**  Knowledge of this architectural pattern used for building maintainable and testable WPF applications (though depth may vary depending on the seniority of the role).
* **Dependency Properties and Routed Events:** Understanding these core WPF concepts for creating custom controls and handling UI interactions.
* **Layout and Design:**  Knowledge of how to arrange controls effectively within a window to create a user-friendly interface.


Essentially, the test aims to determine if you possess the foundational and intermediate-level skills necessary to work effectively as a .NET WPF developer.  The specific topics covered and difficulty level will vary depending on the experience level the employer is targeting (junior, mid-level, senior).
"
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,5,K,"The SHL Assessment "".NET XAML (New)"" is a test designed to assess a candidate's knowledge and skills in developing user interfaces (UI) using XAML (Extensible Application Markup Language) within the .NET framework.  Think of it as a quiz focusing on your ability to create the visual parts of a program – the buttons, menus, windows, etc. – using a specific technology popular for Windows applications.

In simpler terms, it checks if you can use XAML to build the look and feel of a .NET application.  It doesn't delve into the backend logic of the app, just the frontend visual design aspects.

Key skills evaluated include:

* **XAML syntax and structure:** Understanding how to write XAML code to define UI elements.
* **UI controls:** Knowledge of common XAML controls (buttons, text boxes, lists, etc.) and their properties.
* **Data binding:**  Ability to connect UI elements to data sources for dynamic updates.
* **Layout management:**  Understanding how to arrange UI elements effectively using different layout panels (e.g., Grid, StackPanel).
* **Styling and theming:**  Knowledge of applying styles and themes to customize the appearance of the UI.
* **Basic understanding of the .NET framework's role in conjunction with XAML:** While the focus is XAML, a rudimentary understanding of how XAML interacts with the .NET framework is expected.


The assessment likely involves multiple-choice questions, possibly some coding snippets requiring you to identify errors or complete missing parts of the XAML code.  It's aimed at evaluating practical knowledge rather than theoretical understanding.
"
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,9,K,"The SHL Accounts Payable (New) assessment is a test designed to see if you have the skills and knowledge needed for an accounts payable role, specifically for someone new to the job or with limited experience.  In simple terms, it checks if you understand the basics of processing invoices and paying suppliers.

It won't ask highly specialized questions, but rather focuses on fundamental concepts.  Think of it as a screening tool to see if you're a good fit for training in this area.

Key skills evaluated typically include:

* **Understanding of invoice processing:** This involves knowing the steps involved in receiving, verifying, and approving invoices.  You might be asked questions about matching invoices to purchase orders and goods received notes.
* **Basic accounting principles:**  This includes familiarity with debit and credit entries, understanding of accounts payable accounts, and general knowledge of the accounting cycle.  It's not an advanced accounting test, but shows you grasp the fundamentals.
* **Data entry and accuracy:**  Accounts payable involves a lot of detailed work. The assessment may test your ability to accurately enter and process data, potentially through short simulations.
* **Problem-solving:**  You might encounter scenarios requiring you to identify and resolve simple discrepancies or issues with invoices.
* **Attention to detail:**  This is crucial in accounts payable.  The assessment will likely include questions that test your ability to spot errors and inconsistencies.

Overall, the SHL Accounts Payable (New) assessment aims to identify candidates who possess the essential foundational knowledge and aptitude to successfully learn and perform the tasks of a junior accounts payable clerk. It's more about demonstrating potential than proven expertise.
"
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,8,S,"The SHL Accounts Payable Simulation (New) is a computer-based test that simulates the real-life tasks of an accounts payable professional.  Imagine you're working in the finance department of a company, and your job is to process invoices and ensure they're paid correctly and on time.

In simple terms, the test presents you with a series of invoices and related documents.  You'll need to review each invoice for accuracy (checking for correct amounts, matching purchase orders, etc.), prioritize them based on due dates and urgency, and then make decisions about payment.  You'll be working against a simulated time constraint, just like in a real job.

The key skills this assessment evaluates are:

* **Accuracy:**  Paying close attention to detail to avoid errors in processing invoices.
* **Prioritization:**  Determining which invoices need immediate attention and managing your workload effectively.
* **Decision-making:**  Making sound judgments about invoice validity and payment timing.
* **Efficiency:**  Completing tasks quickly and accurately within time constraints.
* **Attention to detail:**  Spotting inconsistencies or errors in the invoices and supporting documentation.

Essentially, it's a realistic job preview, showing how well you can handle the core responsibilities of an accounts payable role.  Your performance is scored based on speed, accuracy, and your overall efficiency in managing the simulated workload.
"
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,13,K,"The SHL Accounts Receivable (New) assessment is a test designed to see if you have the right skills and knowledge to work in an accounts receivable role, especially if it's a new position for you.  Think of it as a screening tool to check if you're a good fit.

In simple terms, it assesses your understanding of the basic processes involved in managing money owed to a company by its customers.  This includes things like:

* **Invoice processing:**  Understanding how invoices are created, sent, and tracked.
* **Payment processing:** Knowing how to receive and record payments from customers.
* **Credit control:**  Basic understanding of managing customer credit accounts and chasing overdue payments.
* **Account reconciliation:**  Matching invoices with payments to ensure accuracy.
* **Data entry and record keeping:**  Accurate and efficient inputting and maintaining financial data.


The key skills evaluated are:

* **Numerical reasoning:**  Accuracy and speed in working with numbers.
* **Attention to detail:**  Ability to spot errors and maintain accuracy in financial records.
* **Data interpretation:**  Understanding and analyzing financial data.
* **Problem-solving:**  Identifying and resolving discrepancies in accounts.
* **Understanding of basic accounting principles:** A foundational grasp of accounts receivable concepts.


It's not usually a deeply technical test, aiming more at assessing basic understanding and aptitude rather than advanced accounting knowledge.  It's designed to weed out candidates who lack fundamental understanding of accounts receivable functions.
"
